ALMACEN,SHIPTO,DIA,MES,A¥O,ARTICULO,DISPONIBLE
102-MCABOR,M3033035,26,12,2025,23353,4
102-MCABOR,M3033035,26,12,2025,23510,4
102-MCABOR,M3033035,26,12,2025,23743,4
102-MCABOR,M3033035,26,12,2025,23891,4
102-MCABOR,M3033035,26,12,2025,24178,4
102-MCABOR,M3033035,26,12,2025,24399,4
102-MCABOR,M3033035,26,12,2025,24400,4
102-MCABOR,M3033035,26,12,2025,25595,4
102-MCABOR,M3033035,26,12,2025,25894,4
102-MCABOR,M3033035,26,12,2025,25935,4
102-MCABOR,M3033035,26,12,2025,26044,4
102-MCABOR,M3033035,26,12,2025,26116,4
102-MCABOR,M3033035,26,12,2025,26141,4
102-MCABOR,M3033035,26,12,2025,26161,4
102-MCABOR,M3033035,26,12,2025,26270,8
102-MCABOR,M3033035,26,12,2025,26387,4
102-MCABOR,M3033035,26,12,2025,26446,4
102-MCABOR,M3033035,26,12,2025,26547,4
102-MCABOR,M3033035,26,12,2025,26678,4
102-MCABOR,M3033035,26,12,2025,27091,4
102-MCABOR,M3033035,26,12,2025,27226,4
102-MCABOR,M3033035,26,12,2025,28399,4
102-MCABOR,M3033035,26,12,2025,28810,4
102-MCABOR,M3033035,26,12,2025,28830,4
102-MCABOR,M3033035,26,12,2025,29011,4
102-MCABOR,M3033035,26,12,2025,29148,4
102-MCABOR,M3033035,26,12,2025,29221,4
102-MCABOR,M3033035,26,12,2025,29259,4
102-MCABOR,M3033035,26,12,2025,29301,4
102-MCABOR,M3033035,26,12,2025,29473,4
102-MCABOR,M3033035,26,12,2025,30417,4
102-MCABOR,M3033035,26,12,2025,30761,4
102-MCABOR,M3033035,26,12,2025,31737,4
102-MCABOR,M3033035,26,12,2025,31895,4
102-MCABOR,M3033035,26,12,2025,31935,4
102-MCABOR,M3033035,26,12,2025,32451,4
102-MCABOR,M3033035,26,12,2025,32589,2
102-MCABOR,M3033035,26,12,2025,33011,4
102-MCABOR,M3033035,26,12,2025,33386,4
102-MCABOR,M3033035,26,12,2025,33533,4
102-MCABOR,M3033035,26,12,2025,33949,4
102-MCABOR,M3033035,26,12,2025,34159,4
102-MCABOR,M3033035,26,12,2025,34256,4
102-MCABOR,M3033035,26,12,2025,34591,4
102-MCABOR,M3033035,26,12,2025,34634,4
102-MCABOR,M3033035,26,12,2025,34753,4
102-MCABOR,M3033035,26,12,2025,35437,4
102-MCABOR,M3033035,26,12,2025,35477,4
102-MCABOR,M3033035,26,12,2025,36279,4
102-MCABOR,M3033035,26,12,2025,36349,4
102-MCABOR,M3033035,26,12,2025,36429,25
102-MCABOR,M3033035,26,12,2025,36614,4
102-MCABOR,M3033035,26,12,2025,36740,4
102-MCABOR,M3033035,26,12,2025,37573,4
102-MCABOR,M3033035,26,12,2025,37647,4
102-MCABOR,M3033035,26,12,2025,38593,4
102-MCABOR,M3033035,26,12,2025,38647,4
102-MCABOR,M3033035,26,12,2025,38727,4
102-MCABOR,M3033035,26,12,2025,38846,4
102-MCABOR,M3033035,26,12,2025,38984,4
102-MCABOR,M3033035,26,12,2025,39745,4
102-MCABOR,M3033035,26,12,2025,40065,4
102-MCABOR,M3033035,26,12,2025,40410,4
102-MCABOR,M3033035,26,12,2025,40788,4
102-MCABOR,M3033035,26,12,2025,40877,4
102-MCABOR,M3033035,26,12,2025,41316,4
102-MCABOR,M3033035,26,12,2025,42495,5
102-MCABOR,M3033035,26,12,2025,44312,4
102-MCABOR,M3033035,26,12,2025,44327,4
